competition_name,name,club_id,year,cup_image_url
ukrainian-super-cup,FC Shakhtar Donetsk,660,2015,https://tmssl.akamaized.net//images/erfolge/fix/173.png?lm=1520606999
community-shield,Arsenal Football Club,11,2020,https://tmssl.akamaized.net//images/erfolge/fix/316.png?lm=1520606999
kypello-elladas,Panathinaikos Athlitikos Omilos,265,2014,https://tmssl.akamaized.net//images/erfolge/fix/39.png?lm=1461847499
dfb-pokal,Eintracht Frankfurt Fußball AG,24,2018,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
ukrainian-super-cup,Futbolniy Klub Dynamo Kyiv,338,2018,https://tmssl.akamaized.net//images/erfolge/fix/173.png?lm=1520606999
uefa-champions-league,Chelsea Football Club,631,2021,https://tmssl.akamaized.net//images/erfolge/fix/4.png?lm=1520606999
russian-super-cup,AO FK Zenit Sankt-Peterburg,964,2021,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
russian-super-cup,AO FK Zenit Sankt-Peterburg,964,2022,https://tmssl.akamaized.net//images/erfolge/fix/468.png?lm=1511173816
dfb-pokal,RasenBallsport Leipzig,23826,2023,https://tmssl.akamaized.net//images/erfolge/fix/27.png?lm=1520606999
russian-cup,"Футбольный клуб ""Локомотив"" Москва",932,2015,https://tmssl.akamaized.net//images/erfolge/fix/196.png?lm=1520606999
allianz-cup,Sport Lisboa e Benfica,294,2016,https://tmssl.akamaized.net//images/erfolge/fix/246.png?lm=1520606999
dfl-supercup,FC Bayern München,27,2012,https://tmssl.akamaized.net//images/erfolge/fix/312.png?lm=1520606999
sfa-cup,The Celtic Football Club,371,2019,https://tmssl.akamaized.net//images/erfolge/fix/87.png?lm=1461847499
