player_id,name,goals,assists,yellow_cards,red_cards,minutes
5794.0,Obafemi Martins,9,3,8,0,2520
5817.0,Andrea Pirlo,16,24,13,0,11070
5818.0,Massimo Ambrosini,1,4,22,0,4950
5825.0,Marco Borriello,44,14,28,1,11880
5852.0,0,11,0,0,0,0
5856.0,Daniele Bonera,1,2,35,1,10080
5858.0,Paolo Cannavaro,5,4,39,2,14310
5868.0,Matteo Brighi,7,1,13,0,9720
5870.0,Massimo Donati,3,5,25,0,8820
5873.0,Marco Marchionni,2,5,18,0,6030
5878.0,Alberto Gilardino,45,10,18,0,12780
5879.0,Adrian Mutu,13,4,8,0,3330
5880.0,Morgan De Sanctis,2,1,7,0,11250
5889.0,Thomas Manfredini,1,1,18,1,4410
5890.0,Sergio Almirón,5,0,6,0,4140
5892.0,Martin Jörgensen,3,3,4,0,3600
5893.0,Giampiero Pinzi,5,5,44,0,8460
5896.0,David Pizarro,4,11,29,1,9900
5922.0,Simone Perrotta,2,1,0,0,1530
5925.0,Nicola Legrottaglie,5,1,14,2,4320
5928.0,Sergio Pellissier,35,6,11,1,14940
5938.0,Walter Samuel,4,2,15,0,3330
5942.0,Jonathan Zebina,1,0,13,0,3330
5946.0,Cesare Bovo,3,3,35,0,8460
5947.0,Daniele De Rossi,17,19,55,4,20250
5948.0,Damiano Ferronetti,1,0,0,0,360
5951.0,0,1,0,0,0,0
5957.0,Alberto Aquilani,21,12,38,1,16470
5958.0,Francesco Totti,38,44,21,1,13050
5962.0,Antonio Cassano,29,30,7,0,10800
5966.0,Marius Stankevicius,1,3,5,0,3060
5970.0,Dario Dainelli,4,1,39,0,14580
5974.0,Matuzalém,1,6,18,0,3870
5980.0,Luca Toni,59,20,12,0,11520
5986.0,Ferdinando Coppola,1,0,1,0,270
5993.0,Cristian Zaccardo,3,2,8,1,5580
6004.0,Alessandro Frara,4,0,3,0,1800
6009.0,0,2,1,0,0,0
6012.0,Stefano Lucchini,2,2,24,0,6660
6020.0,Francesco Tavano,5,2,1,0,2520
6022.0,0,1,0,0,0,0
6026.0,Tommaso Rocchi,3,1,1,0,1620
6031.0,Antonio Di Natale,68,22,13,0,12510
6033.0,Francesco Lodi,18,17,14,1,10350
6043.0,Stefano Mauri,18,12,12,0,8820
6046.0,Giuseppe Sculli,1,2,10,0,1800
6053.0,Diomansy Kamara,13,10,14,0,5760
6065.0,Martin Jiranek,1,0,1,0,4230
6075.0,Erjon Bogdani,2,0,2,0,1800
6076.0,David Di Michele,2,1,0,0,1170
6087.0,Christian Obodo,1,0,8,1,4500
6094.0,0,2,0,0,0,0
6097.0,Fabrizio Miccoli,14,12,7,0,2700
6098.0,0,5,1,0,0,0
6106.0,Georgios Karagounis,2,1,5,0,3960
6118.0,Mamadou Niang,3,2,1,0,900
6150.0,Fabricio Coloccini,3,1,8,3,10350
6151.0,0,3,0,0,0,0
6157.0,Gaetano D'Agostino,5,2,3,0,1620
6160.0,Mauricio Pinilla,35,14,43,4,10710
6233.0,Luciano,1,4,4,0,2160
6234.0,Amauri,23,7,9,2,8820
6237.0,Stefan Kießling,77,34,15,0,18810
6242.0,0,1,0,0,0,0
6251.0,Dennis Souza,3,1,8,0,2880
6278.0,Yoann Poulard,1,0,2,0,3240
6287.0,Marco Caligiuri,2,2,2,0,3510
6288.0,Mario Gómez,94,24,20,0,16470
6291.0,0,3,0,0,0,0
6301.0,Andreas Lasnik,4,1,3,0,3420
6304.0,0,1,0,0,0,0
6320.0,Danko Lazovic,8,9,2,1,990
6395.0,0,2,0,0,0,0
6400.0,Donny de Groot,1,0,0,0,0
6403.0,Bas Sibum,1,1,13,1,5850
6417.0,0,1,0,0,0,0
6425.0,0,2,1,0,0,0
6427.0,Marco Donadel,1,1,10,1,3330
6428.0,0,2,0,0,0,0
6438.0,Cristian Ledesma,6,12,21,1,9090
6442.0,Antonio Rosati,1,0,1,0,1710
6448.0,Mirko Vucinic,16,10,9,0,5490
6457.0,Axel Bellinghausen,3,3,2,0,2970
6585.0,Kalu Uche,25,10,1,0,4500
6590.0,Andreas Isaksson,1,0,7,0,9360
6636.0,Christian Fuchs,7,27,36,0,20790
6645.0,Tranquillo Barnetta,4,15,4,0,8190
6666.0,Mijat Maric,26,4,21,0,14580
6710.0,Per Mertesacker,10,4,12,2,17010
6721.0,Mario Santana,4,3,1,0,3420
6727.0,0,1,0,0,0,0
6750.0,Maurizio Domizzi,2,7,31,2,8010
6758.0,0,1,0,0,0,0
6764.0,Romeo Castelen,7,9,2,0,4140
6791.0,Kai Herdling,5,5,5,0,2430
6792.0,Luca Antonini,3,1,5,0,3870
6793.0,Angelo Palombo,2,6,16,0,8820
6803.0,Henri Bedimo,1,16,19,0,13680
6824.0,Charles Takyi,3,1,3,0,1170
6838.0,Henok Goitom,12,3,1,0,720
6853.0,Mark-Jan Fledderus,13,10,19,0,11790
6855.0,Georgios Samaras,25,23,13,0,6930
6861.0,Karel D'Haene,5,3,12,1,9000
6866.0,Cihan Haspolatli,1,3,7,0,2070
6871.0,Gökdeniz Karadeniz,29,26,17,0,14220
6873.0,Sinan Kaloglu,15,5,0,0,6210
6888.0,0,1,0,0,0,0
6890.0,0,1,0,0,0,0
6893.0,Gabriel Tamas,1,3,3,0,1170
6934.0,Tuncay Sanli,1,5,3,0,3690
6949.0,Necati Ates,18,11,8,0,7380
6970.0,Cédric Fauré,9,4,4,0,3330
6986.0,Thibault Giresse,10,10,3,1,9900
6994.0,Adem Kocak,1,8,14,0,10260
7023.0,Bekir Ozan Has,2,7,16,0,4950
7025.0,Selcuk Sahin,8,5,28,0,12780
